State & District,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
"district_code:224, state_name:BIHAR, district_name:Bhagalpur",3037766,1615663,1422103,1573066,937669,635397,318569,169667,148902,67180,35545,31635,983528,740056,243472,534129,449399,2054238,135161,475228,60461,312678,2487866,537098,3556,415,180,1050,32,7569,63241,174534,6764,46929,522527,130634,653161,614644,524322,300767,247079,154643,118843,16119,1976417,1139715,3116132,1952879,674660,397654
"district_code:225, state_name:BIHAR, district_name:Banka",2034763,1067140,967623,965321,590961,374360,247858,129663,118195,90432,45901,44531,771080,517817,253263,374097,396983,1263683,172440,462614,26680,109346,1772655,250925,6138,139,113,94,1035,3664,15459,62359,1704,22300,425604,18492,444096,408188,386707,196305,120653,63103,35767,3922,1214645,879831,2094476,1291235,462080,278863
"district_code:226, state_name:BIHAR, district_name:Munger",1367765,729041,638724,801817,473741,328076,183846,97195,86651,21404,10995,10409,426658,327453,99205,233402,193256,941107,45953,196449,16690,167566,1252319,110416,1815,338,95,145,61,2576,49141,90461,2653,17946,222281,85782,308063,226699,158699,146414,147152,101907,64469,4394,849734,498676,1348410,860147,316713,188319
"district_code:227, state_name:BIHAR, district_name:Lakhisarai",1000912,526345,474567,507270,305182,202088,153209,80069,73140,8333,4247,4086,326576,240494,86082,201866,124710,674336,78532,159970,13546,74528,956396,40886,487,140,52,78,52,2821,12938,44491,1186,8862,175882,31763,207645,172076,149312,111684,85807,48001,27261,3814,597955,450967,1048922,650642,218840,130655
"district_code:228, state_name:BIHAR, district_name:Sheikhpura",636342,329743,306599,328676,196431,132245,131115,67582,63533,617,305,312,224655,151569,73086,148002,76653,411687,54511,109696,9917,50531,596102,37653,313,75,41,43,31,2084,6803,20065,631,8873,108293,24345,132638,129673,110525,59529,52860,33856,19676,3399,409518,305609,715127,413475,136898,85045
"district_code:229, state_name:BIHAR, district_name:Nalanda",2877653,1497060,1380593,1519933,919558,600375,607672,315240,292432,1442,728,714,1045420,703405,342015,740949,304471,1832233,221240,534021,52585,237574,2669775,198033,1978,393,414,561,64,6435,43761,101378,4156,43848,514141,102522,616663,581978,486266,320839,274556,177358,133032,11159,1985188,1324385,3309573,1829128,642197,403129
"district_code:230, state_name:BIHAR, district_name:Patna",5838465,3078512,2759953,3459679,2028047,1431632,920918,482088,438830,9069,4717,4352,1881886,1436411,445475,1371267,510619,3956579,271216,658203,85349,867118,5356075,439952,12551,4803,1062,2151,203,21668,321307,546859,40692,132582,657991,552103,1210094,1244842,1095655,920051,698351,463361,452340,46126,4920726,2590473,7511199,3626564,1382654,815638
"district_code:231, state_name:BIHAR, district_name:Bhojpur",2728407,1430380,1298027,1599151,973486,625665,425402,222716,202686,13977,7363,6614,822493,640283,182210,512009,310484,1905914,190896,364875,47985,218737,2518216,197819,2165,544,647,1472,48,7496,45763,62153,3661,34658,434559,77368,511927,581580,605307,367059,313509,163303,131137,10630,2172525,1005140,3177665,1722387,613072,387389
"district_code:232, state_name:BIHAR, district_name:Buxar",1706352,887977,818375,989807,593544,396263,251737,131821,119916,26824,14102,12722,538322,402180,136142,328547,209775,1168030,132472,251790,26122,127938,1591454,105423,2125,248,5090,97,57,1858,27362,46760,1784,19324,299252,35405,334657,331675,420187,256124,178044,89306,64117,5224,1344677,457814,1802491,1074754,375372,253998
"district_code:233, state_name:BIHAR, district_name:Kaimur (Bhabua)",1626384,847006,779378,920276,549923,370353,369088,192686,176402,57981,29717,28264,511163,375959,135204,284646,226517,1115221,125070,268597,24880,92616,1456229,155283,1407,296,7707,129,1534,3799,12540,52899,2100,17223,325143,15299,340442,318859,294927,210899,147315,86815,70169,9576,1138560,551317,1689877,1039302,353413,226808
"district_code:234, state_name:BIHAR, district_name:Rohtas",2959918,1543546,1416372,1799832,1061783,738049,549546,286596,262950,31650,16399,15251,924879,707939,216940,542439,382440,2035039,218087,405544,48512,252736,2645415,300487,2889,2569,1584,252,537,6185,41659,114893,4594,36279,512383,95678,608061,535187,548971,399053,333053,194928,161555,16006,2188753,876443,3065196,1875174,673742,407193
"district_code:235, state_name:BIHAR, district_name:Aurangabad",2540073,1318684,1221389,1466002,868733,597269,612064,316161,295903,1033,500,533,837770,599157,238613,480286,357484,1702303,178525,426096,40652,192497,2291133,237353,2218,295,334,775,19,7946,24106,44456,2362,31168,428291,49006,477297,559512,482199,302662,253142,136783,91371,8329,1833998,784131,2618129,1626969,564571,340948
"district_code:236, state_name:BIHAR, district_name:Gaya",4391418,2266566,2124852,2297613,1368803,928810,1334351,683943,650408,3098,1635,1463,1664062,1076170,587892,1007057,657005,2727356,370759,783505,87178,422620,3876395,488121,3943,913,870,1723,108,19345,57738,112617,6856,57011,696289,111282,807571,902272,757690,447480,342254,191824,131163,12047,2784730,1953368,4738098,2810026,936630,537333
"district_code:237, state_name:BIHAR, district_name:Nawada",2219146,1144668,1074478,1091012,659474,431538,565112,290050,275062,2045,997,1048,817041,539439,277602,508509,308532,1402105,216400,397505,40018,163118,1964620,244394,1299,250,176,279,80,8048,20522,31162,1841,28411,379551,45323,424874,601011,368649,195072,161127,95943,64585,3130,1489517,1091439,2580956,1440781,485628,288805
"district_code:238, state_name:BIHAR, district_name:Jamui",1760405,916064,844341,858588,534385,324203,302649,155849,146800,78793,40185,38608,727571,452288,275283,445352,282219,1032834,156491,331466,105637,133977,1525746,217621,8443,162,159,87,3438,4749,12984,32633,1839,22414,325909,30851,356760,420472,317612,153973,104211,56137,29633,3439,1085477,765297,1850774,1135919,392052,227016
"district_code:239, state_name:BIHAR, district_name:Jehanabad",1125313,585582,539731,618881,374412,244469,222974,115034,107940,1285,667,618,365378,266423,98955,251690,113688,759935,86108,179519,15075,84676,1045117,75742,691,148,248,60,58,3249,15507,27641,1106,11302,186660,28132,214792,211761,165906,117558,112966,68748,45519,3539,725997,495877,1221874,714244,254582,155106
"district_code:240, state_name:BIHAR, district_name:Arwal",700843,363497,337346,386351,235279,151072,141314,72885,68429,590,283,307,236354,167991,68363,161277,75077,464489,49127,144698,6758,35771,634099,64259,390,59,323,74,60,1579,4176,2203,413,6378,134334,9960,144294,123288,118311,80704,81975,48822,27945,1435,482480,290095,772575,444448,156031,98550
"district_code:241, state_name:SIKKIM, district_name:North  District",43709,24730,18979,30450,18579,11871,982,536,446,28715,14741,13974,23359,15935,7424,17216,6143,20350,7313,2262,332,13452,14883,815,2660,816,23318,35,921,261,2343,7826,116,590,11543,2066,13609,6030,8276,6181,3223,1993,1406,273,27382,7673,35055,27099,11674,4887
"district_code:242, state_name:SIKKIM, district_name:West District",136435,70238,66197,93432,51988,41444,5935,3117,2818,57817,29485,28332,70348,40772,29576,51225,19123,66087,40797,8053,1403,20095,75286,965,13002,40,36390,20,10477,255,5337,25272,286,1956,32091,1886,33977,30518,30827,19973,10005,6439,4831,527,103120,28227,131347,84209,32520,19400
"district_code:243, state_name:SIKKIM, district_name:South District",146850,76670,70180,106741,59357,47384,6053,3058,2995,41392,21556,19836,74753,45300,29453,50898,23855,72097,37802,4188,1004,31759,84583,1889,21462,151,35053,45,3176,491,10021,27587,591,2626,31135,8163,39298,24507,32427,22340,12415,7260,5766,488,105203,24395,129598,87982,37318,20982
"district_code:244, state_name:SIKKIM, district_name:East District",283583,151432,132151,214329,121345,92984,15305,7743,7562,78436,39479,38957,139678,92351,47327,111058,28620,143905,31489,11483,2404,94302,177910,6198,23398,861,72455,214,1726,821,35170,57893,3291,9662,40626,41512,82138,33578,53789,45602,29215,19258,20904,2682,205028,38142,243170,165520,80354,37456
"district_code:245, state_name:ARUNACHAL PRADESH, district_name:Tawang",49977,29151,20826,26073,17720,8353,0,0,0,34811,16770,18041,28561,19554,9007,24430,4131,21416,7631,1581,114,19235,11842,787,776,1164,34920,72,349,67,3794,8635,96,494,10730,2452,13182,4904,4730,4029,2140,1989,1379,667,19838,19203,39041,30709,13849,5399
"district_code:246, state_name:ARUNACHAL PRADESH, district_name:West Kameng",83947,46155,37792,48492,29566,18926,0,0,0,46380,22771,23609,42493,28313,14180,34752,7741,41454,14476,1705,801,25511,31265,1970,8466,328,36087,71,5556,204,7133,14188,202,887,17889,6306,24195,8836,10317,8428,5633,3987,2693,299,40193,25606,65799,53026,22362,8493
"district_code:247, state_name:ARUNACHAL PRADESH, district_name:East Kameng",78690,38775,39915,38449,21599,16850,0,0,0,72400,35266,37134,31710,16424,15286,27123,4587,46980,21835,1063,273,8539,12333,652,37136,36,452,23,27868,190,3583,5318,57,885,14503,5215,19718,11713,10487,8852,6213,4510,2330,142,44247,31763,76010,53752,17922,6960
"district_code:248, state_name:ARUNACHAL PRADESH, district_name:Papum Pare",176573,89182,87391,121048,65794,55254,0,0,0,117216,56469,60747,65772,41263,24509,51157,14615,110801,14104,1859,1543,48266,57027,6148,84397,310,4768,139,22586,1198,22966,30539,2477,7418,20308,30180,50488,15368,21956,21376,20007,17342,13840,926,110815,30360,141175,120592,43812,11856
"district_code:249, state_name:ARUNACHAL PRADESH, district_name:Upper Subansiri",83448,41758,41690,45278,24807,20471,0,0,0,78323,38570,39753,33370,17898,15472,25717,7653,50078,21690,1846,481,9353,13474,521,8779,28,297,11,59449,889,3123,5373,139,750,14542,4672,19214,10219,16118,15339,10348,8017,4276,473,64790,28364,93154,56054,20055,7230
"district_code:250, state_name:ARUNACHAL PRADESH, district_name:West Siang",112274,58168,54106,64746,36777,27969,0,0,0,92783,45746,47037,49177,29156,20021,43000,6177,63097,28852,1384,298,18643,15881,2218,29969,577,3311,49,60005,264,6115,14204,303,1300,22272,8503,30775,14227,17675,15908,11441,8418,6030,521,74220,27956,102176,70415,28305,13469
"district_code:251, state_name:ARUNACHAL PRADESH, district_name:East Siang",99214,50116,49098,62576,34210,28366,0,0,0,69979,34533,35446,40222,23591,16631,33578,6644,58992,20185,3565,493,15979,27854,2289,18254,69,776,30,49393,549,4866,14231,450,1582,19497,9524,29021,9938,13713,13968,10937,9498,6540,525,65119,21543,86662,61993,25334,11802
"district_code:252, state_name:ARUNACHAL PRADESH, district_name:Upper Siang",35320,18699,16621,18195,10723,7472,0,0,0,28468,14413,14055,17644,9968,7676,14524,3120,17676,9976,804,591,6273,5261,411,5643,27,2577,7,20967,427,1504,6198,97,392,8569,2182,10751,3952,5584,4915,2935,2211,1349,46,20992,11209,32201,21090,8910,5252
"district_code:253, state_name:ARUNACHAL PRADESH, district_name:Changlang",148226,76948,71278,73174,44027,29147,0,0,0,53878,27061,26817,62966,39329,23637,50765,12201,85260,39732,4208,496,18530,47683,2134,35969,94,50381,95,11738,132,4762,14593,170,1486,33422,6498,39920,20425,22537,17354,10032,5641,3633,834,80456,57290,137746,96630,35018,16414
"district_code:254, state_name:ARUNACHAL PRADESH, district_name:Tirap",111975,57604,54371,47974,29313,18661,0,0,0,98372,49365,49007,50169,27545,22624,44262,5907,61806,35967,1811,836,11555,20682,1103,83361,61,778,43,5325,622,3104,16026,98,888,18420,6500,24920,13585,16989,12077,7834,4305,2134,182,57106,50628,107734,71785,25669,14423
"district_code:255, state_name:ARUNACHAL PRADESH, district_name:Lower Subansiri",83030,41843,41187,54057,29470,24587,0,0,0,72911,35803,37108,30202,17339,12863,22669,7533,52828,13656,1968,435,14143,9551,1482,34402,27,193,13,37085,277,4211,12493,381,1598,18112,5365,23477,8492,10821,11661,9861,7674,5230,295,54034,17273,71307,55258,20305,7412
"district_code:256, state_name:ARUNACHAL PRADESH, district_name:Kurung Kumey",92076,45318,46758,36606,20258,16348,0,0,0,90764,44459,46305,38044,18429,19615,24372,13672,54032,27417,2947,833,6847,4859,471,51189,43,121,81,34158,1154,586,3911,95,969,18603,1092,19695,12661,15054,12264,6997,4353,2031,299,53659,42621,96280,64379,20713,6836
"district_code:257, state_name:ARUNACHAL PRADESH, district_name:Dibang Valley",8004,4414,3590,4436,2614,1822,0,0,0,5701,2850,2851,3555,2228,1327,2525,1030,4449,1290,106,68,2091,3141,111,223,7,126,2,4267,127,605,1074,17,133,2055,1175,3230,696,1258,1060,809,656,356,91,4926,2185,7111,5113,2088,786
"district_code:258, state_name:ARUNACHAL PRADESH, district_name:Lower Dibang Valley",54080,28053,26027,31849,18087,13762,0,0,0,25974,12649,13325,22326,14102,8224,19829,2497,31754,9687,3354,233,9052,28915,2247,9213,33,2932,19,10393,328,3068,5932,207,742,12000,3950,15950,5875,7957,7351,5508,3570,2795,85,33141,14406,47547,35140,13254,5652
"district_code:259, state_name:ARUNACHAL PRADESH, district_name:Lohit",145726,76221,69505,83062,48380,34682,0,0,0,47410,23457,23953,60945,38910,22035,50754,10191,84781,29909,7789,786,22461,99020,3846,10684,210,24452,104,7277,133,6549,17157,312,1471,33599,11372,44971,19306,25179,20643,13070,7612,5180,584,91574,52421,143995,94890,35493,15195
"district_code:260, state_name:ARUNACHAL PRADESH, district_name:Anjaw",21167,11507,9660,9990,6523,3467,0,0,0,16451,8208,8243,10501,6224,4277,9264,1237,10666,6316,181,84,3920,13088,655,271,273,644,12,6137,87,476,1949,27,252,6025,428,6453,2879,2946,2170,1167,793,502,98,10555,8723,19278,13913,4755,2456
"district_code:261, state_name:NAGALAND, district_name:Mon",250260,131753,118507,119626,67432,52194,0,0,0,238285,124343,113942,147654,79425,68229,104981,42673,102606,113473,10836,1608,21737,8102,3444,236494,84,1256,314,1,565,1080,14398,178,2844,43607,7415,51022,37431,46055,30500,7628,3565,1772,107,127058,130529,257587,168773,53600,27437
"district_code:262, state_name:NAGALAND, district_name:Mokokchung",194622,101092,93530,159494,83479,76015,0,0,0,178431,90567,87864,100067,57084,42983,81046,19021,94555,48925,9166,3798,38178,9840,2057,181847,78,442,66,6,286,7236,40154,537,2728,37536,17742,55278,20259,43483,54035,27425,13077,10299,870,169448,22555,192003,111243,52853,30363
"district_code:263, state_name:NAGALAND, district_name:Zunheboto",140757,71217,69540,102881,53504,49377,0,0,0,136561,68071,68490,79466,41178,38288,49382,30084,61291,44723,11955,2025,20763,2580,772,136995,39,286,6,2,77,1433,28846,261,2008,31267,6044,37311,16523,30889,35113,17282,8821,5560,1107,115295,25988,141283,91709,32267,16730
"district_code:264, state_name:NAGALAND, district_name:Wokha",166343,84505,81838,128208,67385,60823,0,0,0,156621,78816,77805,78412,42096,36316,63512,14900,87931,47473,6438,1965,22536,5605,2043,158236,34,318,8,20,79,3228,25268,198,1757,38499,8170,46669,15865,37024,41627,18746,10223,8030,401,131916,25048,156964,106951,40510,18811
"district_code:265, state_name:NAGALAND, district_name:Dimapur",378811,197394,181417,278037,150142,127895,0,0,0,223989,110892,113097,151350,99645,51705,122358,28992,227461,24517,8990,5073,112770,108900,31212,234239,566,1270,2148,157,319,42378,71413,3303,12077,49116,62853,111969,34539,61815,80076,44343,26712,27532,2939,277956,58926,336882,243392,98601,36618
"district_code:266, state_name:NAGALAND, district_name:Phek",163418,83743,79675,105893,57926,47967,0,0,0,157146,79536,77610,80277,41556,38721,63645,16632,83141,55091,3159,1275,20752,3563,950,158224,31,350,17,198,85,2073,36182,170,1558,38903,7295,46198,22494,32722,30434,12785,7268,5926,481,112110,44456,156566,108514,37842,16969
"district_code:267, state_name:NAGALAND, district_name:Tuensang",196596,101933,94663,117511,63653,53858,0,0,0,190916,98212,92704,98154,52931,45223,73518,24636,98442,75212,3913,1104,17925,2979,1052,191864,27,572,5,1,96,773,24998,155,2251,40690,9451,50141,29602,40900,33514,15013,6008,2760,116,127913,66450,194363,134573,43210,18762
"district_code:268, state_name:NAGALAND, district_name:Longleng",50484,26502,23982,29859,16139,13720,0,0,0,48615,25268,23347,30568,16273,14295,20944,9624,19916,22501,1309,598,6160,873,635,48849,5,77,0,0,45,186,6416,37,635,12686,2451,15137,7986,11884,8672,3458,1695,595,15,34305,18230,52535,33970,11210,5271
"district_code:269, state_name:NAGALAND, district_name:Kiphire",74004,37830,36174,41232,22675,18557,0,0,0,71429,36217,35212,31959,16780,15179,25830,6129,42045,21432,1259,749,8519,1040,564,71803,13,210,1,1,372,120,14147,47,478,16032,4290,20322,11197,15740,13645,5204,2052,997,76,48911,32120,81031,52699,14955,6309
"district_code:270, state_name:NAGALAND, district_name:Kohima",267988,138966,129022,197489,107038,90451,0,0,0,224738,110617,114121,114825,68140,46685,99408,15417,153163,44684,2198,2072,65871,25496,4384,234955,998,1519,80,335,221,20712,50724,1928,7982,31845,44255,76100,21654,46756,57726,30518,19855,23439,1770,201718,45802,247520,173701,68485,25557
